ItemName,ItemDesc,ItemPrice,RestaurantName,image_url
"East and West Coast Oysters(6 For)","on ice or grilled",18.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"East and West Coast Oysters(12 For)","on ice or grilled",30.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Giardiniera","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Castelvetrano Olives","momma lil's pickled peppers",6.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Pretzels","honey mustard",7.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Goat Cheese Toast","cremini conserva, baby greens",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grilled Bruun-uusto","la quercia, cranberry aigre-doux",14.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Goat Cheese Trio","Sofia, Mont St. Francis, Robiola di Mia Nonna + honeycomb",16.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Scallops","bacon, orange marmalade, brown butter",14.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grilled Octopus","black garlic, caperberry gremolata, potatoes",18.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grilled Walleye","bbq lentils, crème fraiche",19.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Bouchot Mussels","red wine, chick peas, paprika, peppers",19.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Smoked St. Louis Ribs","potato salad, bread and butter pickles",21.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Dry Aged Duck Breast","turnips, spinach, apple butter",24.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grilled Hanger Steak","winter squash, farro, black rice",24.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Honey Glazed Pork Blade Steak","mizuna, sweet potato gratin",24.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Half Chicken","broccoli, sartori cheese, lemon, anchovy",25.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Whole Red American Snapper","artichokes, sun dried tomato arrabiatta",36.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Dover Sole","creamed spinach (while available)",42.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Crispy Potatoes","garlic schmaltz",7.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Beets","aioli, kale pesto",8.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Brussels Sprout Slaw","pears, ginger, pomegranate, sesame seeds",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Tangerine Salad","arugula, fennel, pine nut piccata, honey, lemon, pecorino",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grilled Matsutake Mushroom","meyer lemon",12.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Winter Salad","beets, parsnips, celery root, carrots, pumpkin seeds, avocado",12.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Iceberg Wedge","farro, radish, kohlrabi, buttermilk",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Chopped Salad","apples, romaine, feta, marcona almonds, date, quinoa",12.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Cauliflower","muhammara, walnuts, currants, zaatar",12.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Banana Split","vanilla and pistachio ice cream, chocolate sorbet, hot fudge, pineapple",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Carrot Cake","hazelnut butter, cranberries, toasted coconut ice cream",10.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Chocolate Mousse","ganache, cocoa crisps, toasted marshmallow",9.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Vanilla Panna Cotta","blood orange, salted caramel, fruit and nut granola",9.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Orange Ice Cream","no description",7.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Grapefruit Spice Sorbet","no description",6.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Goat Cheese Trio","Sofia, Mont St. Francis, Robiola di Mia Nonna + honeycomb, apples",16.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Iced Coffee","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Cup of Coffee","no description",3.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"First Flush Darjeeling","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Mint Meritag","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Lemon","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Mallorca Meln","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
"Georgia Peach Rooibos","no description",5.0,"Boltwood",http://s3-media2.fl.yelpcdn.com/assets/2/www/img/d76d93882b01/default_avatars/menu_medium_square.png
